model,prompt_id,category,trial,ttft,latency,tokens_per_second,cpu_usage,memory_usage,duration,response_length,status,error
Q4_K_M,sqa_01,short_qa,0,0.0,0.0,0.0,0.0,0.0,0.0,0,connection_error,"HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x106614980>: Failed to establish a new connection: [Errno 61] Connection refused'))"
Q4_K_M,sqa_02,short_qa,0,0.0,0.0,0.0,0.0,0.0,0.0,0,connection_error,"HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x106618a50>: Failed to establish a new connection: [Errno 61] Connection refused'))"
Q4_K_M,sqa_03,short_qa,0,0.0,0.0,0.0,0.0,0.0,0.0,0,connection_error,"HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x106619090>: Failed to establish a new connection: [Errno 61] Connection refused'))"
Q4_K_M,sqa_04,short_qa,0,0.0,0.0,0.0,0.0,0.0,0.0,0,connection_error,"HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1065c6c40>: Failed to establish a new connection: [Errno 61] Connection refused'))"
Q4_K_M,sqa_05,short_qa,0,0.0,0.0,0.0,0.0,0.0,0.0,0,connection_error,"HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1065c7230>: Failed to establish a new connection: [Errno 61] Connection refused'))"
Q4_K_M,sqa_06,short_qa,0,0.0,0.0,0.0,0.0,0.0,0.0,0,connection_error,"HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x106630050>: Failed to establish a new connection: [Errno 61] Connection refused'))"
Q4_K_M,code_01,coding,0,0.0,0.0,0.0,0.0,0.0,0.0,0,connection_error,"HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1063ebdf0>: Failed to establish a new connection: [Errno 61] Connection refused'))"
Q4_K_M,code_02,coding,0,0.0,0.0,0.0,0.0,0.0,0.0,0,connection_error,"HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x106634380>: Failed to establish a new connection: [Errno 61] Connection refused'))"
Q4_K_M,code_03,coding,0,0.0,0.0,0.0,0.0,0.0,0.0,0,connection_error,"HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1066346b0>: Failed to establish a new connection: [Errno 61] Connection refused'))"
Q4_K_M,code_04,coding,0,0.0,0.0,0.0,0.0,0.0,0.0,0,connection_error,"HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1066348d0>: Failed to establish a new connection: [Errno 61] Connection refused'))"
Q4_K_M,code_05,coding,0,0.0,0.0,0.0,0.0,0.0,0.0,0,connection_error,"HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x106634af0>: Failed to establish a new connection: [Errno 61] Connection refused'))"
Q4_K_M,math_01,math,0,0.0,0.0,0.0,0.0,0.0,0.0,0,connection_error,"HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x106634d10>: Failed to establish a new connection: [Errno 61] Connection refused'))"
Q4_K_M,math_02,math,0,0.0,0.0,0.0,0.0,0.0,0.0,0,connection_error,"HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x106634f30>: Failed to establish a new connection: [Errno 61] Connection refused'))"
Q4_K_M,math_03,math,0,0.0,0.0,0.0,0.0,0.0,0.0,0,connection_error,"HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x106635150>: Failed to establish a new connection: [Errno 61] Connection refused'))"
Q4_K_M,math_04,math,0,0.0,0.0,0.0,0.0,0.0,0.0,0,connection_error,"HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x106635480>: Failed to establish a new connection: [Errno 61] Connection refused'))"
Q4_K_M,math_05,math,0,0.0,0.0,0.0,0.0,0.0,0.0,0,connection_error,"HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1066356a0>: Failed to establish a new connection: [Errno 61] Connection refused'))"
Q4_K_M,reason_01,reasoning,0,0.0,0.0,0.0,0.0,0.0,0.0,0,connection_error,"HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1066358c0>: Failed to establish a new connection: [Errno 61] Connection refused'))"
Q4_K_M,reason_02,reasoning,0,0.0,0.0,0.0,0.0,0.0,0.0,0,connection_error,"HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x106635ae0>: Failed to establish a new connection: [Errno 61] Connection refused'))"
Q4_K_M,reason_03,reasoning,0,0.0,0.0,0.0,0.0,0.0,0.0,0,connection_error,"HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x106635d00>: Failed to establish a new connection: [Errno 61] Connection refused'))"
Q4_K_M,reason_04,reasoning,0,0.0,0.0,0.0,0.0,0.0,0.0,0,connection_error,"HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1063ebce0>: Failed to establish a new connection: [Errno 61] Connection refused'))"
Q4_K_M,reason_05,reasoning,0,0.0,0.0,0.0,0.0,0.0,0.0,0,connection_error,"HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1063ebdf0>: Failed to establish a new connection: [Errno 61] Connection refused'))"
Q4_K_M,long_01,long_generation,0,0.0,0.0,0.0,0.0,0.0,0.0,0,connection_error,"HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1063ebac0>: Failed to establish a new connection: [Errno 61] Connection refused'))"
Q4_K_M,long_02,long_generation,0,0.0,0.0,0.0,0.0,0.0,0.0,0,connection_error,"HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1063eb8a0>: Failed to establish a new connection: [Errno 61] Connection refused'))"
Q4_K_M,long_03,long_generation,0,0.0,0.0,0.0,0.0,0.0,0.0,0,connection_error,"HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1063eb790>: Failed to establish a new connection: [Errno 61] Connection refused'))"
Q4_K_M,long_04,long_generation,0,0.0,0.0,0.0,0.0,0.0,0.0,0,connection_error,"HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1063eb570>: Failed to establish a new connection: [Errno 61] Connection refused'))"
Q4_K_M,chat_01,chat,0,0.0,0.0,0.0,0.0,0.0,0.0,0,connection_error,"HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1063eb240>: Failed to establish a new connection: [Errno 61] Connection refused'))"
Q4_K_M,chat_02,chat,0,0.0,0.0,0.0,0.0,0.0,0.0,0,connection_error,"HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1063eb020>: Failed to establish a new connection: [Errno 61] Connection refused'))"
Q4_K_M,chat_03,chat,0,0.0,0.0,0.0,0.0,0.0,0.0,0,connection_error,"HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x106635bf0>: Failed to establish a new connection: [Errno 61] Connection refused'))"
Q4_K_M,chat_04,chat,0,0.0,0.0,0.0,0.0,0.0,0.0,0,connection_error,"HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1066359d0>: Failed to establish a new connection: [Errno 61] Connection refused'))"
Q4_K_M,sum_01,summarization,0,0.0,0.0,0.0,0.0,0.0,0.0,0,connection_error,"HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1066357b0>: Failed to establish a new connection: [Errno 61] Connection refused'))"
Q4_K_M,sum_02,summarization,0,0.0,0.0,0.0,0.0,0.0,0.0,0,connection_error,"HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x106635370>: Failed to establish a new connection: [Errno 61] Connection refused'))"
Q4_K_M,sqa_01,short_qa,1,0.0,0.0,0.0,0.0,0.0,0.0,0,connection_error,"HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x106635150>: Failed to establish a new connection: [Errno 61] Connection refused'))"
Q4_K_M,sqa_02,short_qa,1,0.0,0.0,0.0,0.0,0.0,0.0,0,connection_error,"HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x106634f30>: Failed to establish a new connection: [Errno 61] Connection refused'))"
Q4_K_M,sqa_03,short_qa,1,0.0,0.0,0.0,0.0,0.0,0.0,0,connection_error,"HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x106634d10>: Failed to establish a new connection: [Errno 61] Connection refused'))"
Q4_K_M,sqa_04,short_qa,1,0.0,0.0,0.0,0.0,0.0,0.0,0,connection_error,"HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x106634af0>: Failed to establish a new connection: [Errno 61] Connection refused'))"
Q4_K_M,sqa_05,short_qa,1,0.0,0.0,0.0,0.0,0.0,0.0,0,connection_error,"HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1066348d0>: Failed to establish a new connection: [Errno 61] Connection refused'))"
Q4_K_M,sqa_06,short_qa,1,0.0,0.0,0.0,0.0,0.0,0.0,0,connection_error,"HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1066346b0>: Failed to establish a new connection: [Errno 61] Connection refused'))"
Q4_K_M,code_01,coding,1,0.0,0.0,0.0,0.0,0.0,0.0,0,connection_error,"HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x106634270>: Failed to establish a new connection: [Errno 61] Connection refused'))"
Q4_K_M,code_02,coding,1,0.0,0.0,0.0,0.0,0.0,0.0,0,connection_error,"HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x106634380>: Failed to establish a new connection: [Errno 61] Connection refused'))"
Q4_K_M,code_03,coding,1,0.0,0.0,0.0,0.0,0.0,0.0,0,connection_error,"HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x106635f20>: Failed to establish a new connection: [Errno 61] Connection refused'))"
Q4_K_M,code_04,coding,1,0.0,0.0,0.0,0.0,0.0,0.0,0,connection_error,"HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x106636140>: Failed to establish a new connection: [Errno 61] Connection refused'))"
Q4_K_M,code_05,coding,1,0.0,0.0,0.0,0.0,0.0,0.0,0,connection_error,"HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x106636360>: Failed to establish a new connection: [Errno 61] Connection refused'))"
Q4_K_M,math_01,math,1,0.0,0.0,0.0,0.0,0.0,0.0,0,connection_error,"HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x106636580>: Failed to establish a new connection: [Errno 61] Connection refused'))"
