prompt_id,category,trial,baseline_ttft,speculative_ttft,baseline_latency,speculative_latency,baseline_tokens_per_second,speculative_tokens_per_second,baseline_cpu,speculative_cpu,baseline_memory,speculative_memory,baseline_duration,speculative_duration,acceptance_rate,speedup,latency_reduction,winner,baseline_status,speculative_status,error
sqa_01,short_qa,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
sqa_02,short_qa,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
sqa_03,short_qa,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
sqa_04,short_qa,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
sqa_05,short_qa,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
sqa_06,short_qa,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
code_01,coding,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
code_02,coding,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
code_03,coding,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
code_04,coding,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
code_05,coding,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
math_01,math,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
math_02,math,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
math_03,math,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
math_04,math,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
math_05,math,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
reason_01,reasoning,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
reason_02,reasoning,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
reason_03,reasoning,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
reason_04,reasoning,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
reason_05,reasoning,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
long_01,long_generation,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
long_02,long_generation,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
long_03,long_generation,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
long_04,long_generation,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
chat_01,chat,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
chat_02,chat,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
chat_03,chat,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
chat_04,chat,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
sum_01,summarization,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
sum_02,summarization,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
sqa_01,short_qa,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
sqa_02,short_qa,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
sqa_03,short_qa,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
sqa_04,short_qa,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
sqa_05,short_qa,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
sqa_06,short_qa,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
code_01,coding,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
code_02,coding,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
code_03,coding,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
code_04,coding,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
code_05,coding,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
math_01,math,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
math_02,math,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
math_03,math,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
math_04,math,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
math_05,math,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
reason_01,reasoning,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
reason_02,reasoning,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
reason_03,reasoning,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
reason_04,reasoning,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
reason_05,reasoning,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
long_01,long_generation,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
long_02,long_generation,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
long_03,long_generation,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
long_04,long_generation,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
chat_01,chat,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inconclusive,connection_error,connection_error,baseline:connection_error; speculative:connection_error
